"OpenOTP setup","OpenOTP setup"
"Enable OpenOTP Two factors authentication for login","Enable OpenOTP Two factors authentication for login"
"Default...","Default..."
"Enable OpenOTP","Enable OpenOTP"
"Server URL","Server URL"
"Client ID","Client ID"
"Create local account","Create local account"
"Default domain","Default domain"
"Client settings","Client settings"
"Proxy host","Proxy host"
"Proxy port","Proxy port"
"Proxy login","Proxy login"
"Proxy password","Proxy password"
